Gym,Environment,House type
BOPTEST,bestest_air,residential
,bestest_hydronic,residential
,bestest_hydronic_heat_pump,residential
,multizone_residential_hydronic,residential
,singlezone_commercial_hydronic,office
Energym,Apartments2Thermal-v0,residential
,Apartments2Grid-v0,residential
,ApartmentsThermal-v0,residential
,ApartmentsGrid-v0,residential
,OfficesThermostat-v0,office
,MixedUseFanFCU-v0,office
,SeminarcenterThermostat-v0,office
,SeminarcenterFull-v0,office
,SimpleHouseRad-v0,residential
,SimpleHouseRSla-v0,residential
,SwissHouseRSlaW2W-v0,residential
,SwissHouseRSlaA2W-v0,residential
,SwissHouseRSlaTank-v0,residential
,SwissHouseRSlaTankDhw-v0,residential
Sinergym,Eplus-demo-v1,residential
,Eplus-5Zone-hot-discrete-v1,residential
,Eplus-5Zone-mixed-discrete-v1,residential
,Eplus-5Zone-cool-discrete-v1,residential
,Eplus-5Zone-hot-continuous-v1,residential
,Eplus-5Zone-mixed-continuous-v1,residential
,Eplus-5Zone-cool-continuous-v1,residential
,Eplus-5Zone-hot-discrete-stochastic-v1,residential
,Eplus-5Zone-mixed-discrete-stochastic-v1,residential
,Eplus-5Zone-cool-discrete-stochastic-v1,residential
,Eplus-5Zone-hot-continuous-stochastic-v1,residential
,Eplus-5Zone-mixed-continuous-stochastic-v1,residential
,Eplus-5Zone-cool-continuous-stochastic-v1,residential
,Eplus-datacenter-discrete-v1,industrial
,Eplus-datacenter-continuous-v1,industrial
,Eplus-datacenter-discrete-stochastic-v1,industrial
,Eplus-datacenter-continuous-stochastic-v1,industrial
,Eplus-IWMullion-discrete-v1,office
,Eplus-IWMullion-continuous-v1,office
,Eplus-IWMullion-discrete-stochastic-v1,office
,Eplus-IWMullion-continuous-stochastic-v1,office
